[Fri, 19 Sep 14 13:12:35 +0800][INFO] SELECT IF(COUNT(*)>0, 1 , 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME`='site_config'
[Fri, 19 Sep 14 13:12:35 +0800][INFO] DESCRIBE `site_config`
[Fri, 19 Sep 14 13:12:35 +0800][INFO] SELECT `site_config`.`id`, `site_config`.`type`, `site_config`.`data`, `site_config`.`update_time` FROM `site_config`
[Fri, 19 Sep 14 13:12:35 +0800][INFO] SELECT IF(COUNT(*)>0, 1 , 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME`='tree_struct'
[Fri, 19 Sep 14 13:12:35 +0800][INFO] DESCRIBE `tree_struct`
[Fri, 19 Sep 14 13:12:35 +0800][INFO] SELECT `tree_struct`.`id`, `tree_struct`.`lft`, `tree_struct`.`rgt`, `tree_struct`.`lvl`, `tree_struct`.`pid`, `tree_struct`.`pos`, `tree_struct`.`type` FROM `tree_struct` WHERE `tree_struct`.`id` = 2 LIMIT :1
[Fri, 19 Sep 14 13:12:35 +0800][INFO] SELECT `tree_struct`.`id`, `tree_struct`.`lft`, `tree_struct`.`rgt`, `tree_struct`.`lvl`, `tree_struct`.`pid`, `tree_struct`.`pos`, `tree_struct`.`type` FROM `tree_struct` WHERE `tree_struct`.`lft` > :1 AND `tree_struct`.`rgt` < :2 AND `tree_struct`.`type` = :type ORDER BY `tree_struct`.`lft` ASC
[Fri, 19 Sep 14 13:12:35 +0800][INFO] SELECT IF(COUNT(*)>0, 1 , 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME`='tree_data'
[Fri, 19 Sep 14 13:12:35 +0800][INFO] DESCRIBE `tree_data`
[Fri, 19 Sep 14 13:12:35 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_struct`.`id`, `tree_struct`.`lft`, `tree_struct`.`rgt`, `tree_struct`.`lvl`, `tree_struct`.`pid`, `tree_struct`.`pos`, `tree_struct`.`type` FROM `tree_struct` WHERE `tree_struct`.`lft` > :1 AND `tree_struct`.`rgt` < :2 AND `tree_struct`.`type` = :type ORDER BY `tree_struct`.`lft` DESC LIMIT 6 OFFSET 0
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_struct`.`id`, `tree_struct`.`lft`, `tree_struct`.`rgt`, `tree_struct`.`lvl`, `tree_struct`.`pid`, `tree_struct`.`pos`, `tree_struct`.`type` FROM `tree_struct` WHERE `tree_struct`.`lft` > :1 AND `tree_struct`.`rgt` < :2 AND `tree_struct`.`type` = :type ORDER BY `tree_struct`.`lft` DESC LIMIT 6 OFFSET 0
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_struct`.`id`, `tree_struct`.`lft`, `tree_struct`.`rgt`, `tree_struct`.`lvl`, `tree_struct`.`pid`, `tree_struct`.`pos`, `tree_struct`.`type` FROM `tree_struct` WHERE `tree_struct`.`lft` > :1 AND `tree_struct`.`rgt` < :2 AND `tree_struct`.`type` = :type ORDER BY `tree_struct`.`lft` DESC LIMIT 6 OFFSET 0
[Fri, 19 Sep 14 13:12:37 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT IF(COUNT(*)>0, 1 , 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME`='site_config'
[Fri, 19 Sep 14 13:12:44 +0800][INFO] DESCRIBE `site_config`
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `site_config`.`id`, `site_config`.`type`, `site_config`.`data`, `site_config`.`update_time` FROM `site_config`
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT IF(COUNT(*)>0, 1 , 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME`='tree_struct'
[Fri, 19 Sep 14 13:12:44 +0800][INFO] DESCRIBE `tree_struct`
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_struct`.`id`, `tree_struct`.`lft`, `tree_struct`.`rgt`, `tree_struct`.`lvl`, `tree_struct`.`pid`, `tree_struct`.`pos`, `tree_struct`.`type` FROM `tree_struct` WHERE `tree_struct`.`id` = 2 LIMIT :1
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_struct`.`id`, `tree_struct`.`lft`, `tree_struct`.`rgt`, `tree_struct`.`lvl`, `tree_struct`.`pid`, `tree_struct`.`pos`, `tree_struct`.`type` FROM `tree_struct` WHERE `tree_struct`.`lft` > :1 AND `tree_struct`.`rgt` < :2 AND `tree_struct`.`type` = :type ORDER BY `tree_struct`.`lft` ASC
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT IF(COUNT(*)>0, 1 , 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME`='tree_data'
[Fri, 19 Sep 14 13:12:44 +0800][INFO] DESCRIBE `tree_data`
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
[Fri, 19 Sep 14 13:12:44 +0800][INFO] SELECT `tree_data`.`id`, `tree_data`.`title`, `tree_data`.`title_en`, `tree_data`.`summary`, `tree_data`.`content`, `tree_data`.`cid`, `tree_data`.`src`, `tree_data`.`src_id`, `tree_data`.`src_category`, `tree_data`.`src_tag` FROM `tree_data` WHERE `tree_data`.`id` = :0 LIMIT :2
